home,away,date,scoreline,odds,market_implied,model_prob,edge,market_home,elo_home,xG_home,xG_away
比利时,塞内加尔,07-02 04:00,1:5,500.0,0.0014,0.0011,-0.0004,0.58,0.5738,1.21,1.0
比利时,塞内加尔,07-02 04:00,2:5,500.0,0.0014,0.0007,-0.0008,0.58,0.5738,1.21,1.0
美国,波黑,07-02 08:00,2:0,5.8,0.1255,0.11,-0.0155,0.86,0.6991,1.42,0.79
美国,波黑,07-02 08:00,1:0,6.0,0.1213,0.1554,0.0341,0.86,0.6991,1.42,0.79
美国,波黑,07-02 08:00,2:1,6.75,0.1078,0.0873,-0.0205,0.86,0.6991,1.42,0.79
美国,波黑,07-02 08:00,3:0,8.0,0.091,0.0519,-0.039,0.86,0.6991,1.42,0.79
美国,波黑,07-02 08:00,1:1,8.0,0.091,0.0,-0.091,0.86,0.6991,1.42,0.79
美国,波黑,07-02 08:00,3:1,10.0,0.0728,0.0412,-0.0316,0.86,0.6991,1.42,0.79
美国,波黑,07-02 08:00,0:0,13.0,0.056,0.0,-0.056,0.86,0.6991,1.42,0.79
美国,波黑,07-02 08:00,4:0,16.0,0.0455,0.0184,-0.0271,0.86,0.6991,1.42,0.79
