world_cup_year,backtest_stage,diagnostic_dimension,diagnostic_value,matches,outcome_accuracy,outcome_log_loss,outcome_brier,avg_top_probability,avg_actual_outcome_probability,upset_rate,high_confidence_miss_rate
2018,group_stage,favorite_matchup_profile,CONCACAF_favorite_vs_CAF,1,0.0,1.2384843135713894,0.8020368383598641,0.505936246740505,0.2898231662407937,1.0,0.0
2018,group_stage,favorite_matchup_profile,CONCACAF_favorite_vs_UEFA,2,0.0,1.1663688884373808,0.7185074084800886,0.415601857807181,0.31501213016163226,1.0,0.0
2018,group_stage,favorite_matchup_profile,CONMEBOL_favorite_vs_AFC,3,0.6666666666666666,0.940516415386457,0.5371303140969771,0.6120346171816189,0.4628505592340235,0.3333333333333333,0.3333333333333333
2018,group_stage,favorite_matchup_profile,CONMEBOL_favorite_vs_CAF,3,1.0,0.5644911496754076,0.2804365956344694,0.5708182713283984,0.5708182713283984,0.0,0.0
2018,group_stage,favorite_matchup_profile,CONMEBOL_favorite_vs_CONCACAF,1,1.0,0.23173323372318164,0.06781452527444584,0.7931576828089315,0.7931576828089315,0.0,0.0
2018,group_stage,favorite_matchup_profile,CONMEBOL_favorite_vs_UEFA,7,0.42857142857142855,1.1848318430684643,0.7510542607492361,0.5563282313472976,0.34243817542823457,0.5714285714285714,0.2857142857142857
2018,group_stage,favorite_matchup_profile,UEFA_favorite_vs_AFC,8,0.625,0.9802285924526277,0.5671580058379244,0.5165751778570512,0.41590307042424524,0.375,0.125
2018,group_stage,favorite_matchup_profile,UEFA_favorite_vs_CAF,7,0.7142857142857143,0.8301541863826516,0.49093823382278845,0.545858145812975,0.46345638550384194,0.2857142857142857,0.14285714285714285
2018,group_stage,favorite_matchup_profile,UEFA_favorite_vs_CONCACAF,4,0.5,0.8980319071407497,0.5291915353918341,0.6233993372743192,0.47073620490926105,0.5,0.0
2018,group_stage,favorite_matchup_profile,UEFA_favorite_vs_CONMEBOL,1,1.0,0.8806945448198331,0.5152114832772408,0.4144949263798442,0.4144949263798442,0.0,0.0
2018,group_stage,favorite_matchup_profile,UEFA_favorite_vs_UEFA,6,0.5,0.934410831979132,0.5583347259198469,0.5056232173131274,0.4140285315847054,0.5,0.0
2018,knockout,same_confederation,False,7,0.5714285714285714,0.9794406328850245,0.5699370124322121,0.478742115958652,0.41001438948802166,0.42857142857142855,0.0
2018,knockout,same_confederation,True,9,0.3333333333333333,1.1022265610622668,0.6713135379209079,0.43540583192727145,0.3422849836866681,0.6666666666666666,0.0
2018,knockout,confederation_pair,AFC_vs_UEFA,1,1.0,0.5174850451977852,0.2451741668611594,0.5960176220250367,0.5960176220250367,0.0,0.0
2018,knockout,confederation_pair,CONCACAF_vs_CONMEBOL,1,1.0,0.3961363541873728,0.16414442658603484,0.6729149349124076,0.6729149349124076,0.0,0.0
2018,knockout,confederation_pair,CONMEBOL_vs_UEFA,5,0.4,1.1884926061620027,0.716048098715658,0.416452450954624,0.3202336338957415,0.6,0.0
2018,knockout,confederation_pair,UEFA_vs_UEFA,9,0.3333333333333333,1.1022265610622668,0.6713135379209079,0.43540583192727145,0.3422849836866681,0.6666666666666666,0.0
2018,knockout,favorite_matchup_profile,CONMEBOL_favorite_vs_CONCACAF,1,1.0,0.3961363541873728,0.16414442658603484,0.6729149349124076,0.6729149349124076,0.0,0.0
2018,knockout,favorite_matchup_profile,CONMEBOL_favorite_vs_UEFA,4,0.25,1.2550540548278002,0.7588015670086536,0.4211594014278042,0.3008858801042011,0.75,0.0
2018,knockout,favorite_matchup_profile,UEFA_favorite_vs_AFC,1,1.0,0.5174850451977852,0.2451741668611594,0.5960176220250367,0.5960176220250367,0.0,0.0
2018,knockout,favorite_matchup_profile,UEFA_favorite_vs_CONMEBOL,1,1.0,0.9222468114988128,0.5450342255436759,0.397624649061903,0.397624649061903,0.0,0.0
